phrase,Advanced,Bad,BadManagement,BeginnerFriendly,OverallGood,GoodManagement,GoodResources,InformativeAndKnowledgeable,Lengthy,Short 
"The event was incredibly informative and suitable for advanced attendees. However, it felt overly lengthy.",1,0,0,0,1,0,0,1,1,0
"This event was poorly organized, and the management was terrible. Beginners might struggle here.",0,1,1,1,0,0,0,0,0,0
I found the event to be both beginner-friendly and informative. The resources provided were excellent.,0,0,0,1,1,0,1,1,0,0
"The event was fantastic overall, thanks to the great management and knowledgeable speakers.",0,0,0,0,1,1,0,1,0,0
"It was a short and sweet event, perfect for beginners, but a bit lacking in depth.",0,0,0,1,0,0,0,0,0,1
"For advanced participants, this event is a goldmine of knowledge. However, it tends to be lengthy.",1,0,0,0,0,0,0,1,1,0
"Stay away from this event! It was poorly managed, bad content, and lacked any useful resources.",0,1,1,0,0,0,0,0,0,0
Beginner-friendly and packed with information. The overall experience was excellent.,0,0,0,1,1,0,0,1,0,0
"The event was good, but the management could be improved. Informative content and good resources.",0,0,1,0,1,0,1,1,0,0
A lengthy event with advanced content. Good management made it tolerable for those seeking depth.,1,0,0,0,0,1,0,0,1,0
"Avoid this event if possible. Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
"Short and sweet – suitable for those with limited time. However, it lacks depth for advanced participants.",0,0,0,1,0,0,0,0,0,1
Advanced content in a lengthy event. Good management made it bearable.,1,0,0,0,0,1,0,0,1,0
"Avoid this event at all costs! Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
"Short and sweet – suitable for those with limited time. However, it lacks depth for advanced participants.",0,0,0,1,0,0,0,0,0,1
Advanced content in a lengthy event. Good management made it bearable.,1,0,0,0,0,1,0,0,1,0
"Avoid this event at all costs! Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
"Short and sweet – suitable for those with limited time. However, it lacks depth for advanced participants.",0,0,0,1,0,0,0,0,0,1
Advanced content in a lengthy event. Good management made it bearable.,1,0,0,0,0,1,0,0,1,0
"Avoid this event at all costs! Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
"Short and sweet – suitable for those with limited time. However, it lacks depth for advanced participants.",0,0,0,1,0,0,0,0,0,1
Advanced content in a lengthy event. Good management made it bearable.,1,0,0,0,0,1,0,0,1,0
"Avoid this event at all costs! Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
"Short and sweet – suitable for those with limited time. However, it lacks depth for advanced participants.",0,0,0,1,0,0,0,0,0,1
Advanced content in a lengthy event. Good management made it bearable.,1,0,0,0,0,1,0,0,1,0
"Avoid this event at all costs! Bad management, bad content, and a waste of time.",0,1,1,0,0,0,0,0,0,0
"Perfect for beginners – informative, friendly, and well-managed. Good resources enhance the experience.",0,0,0,1,1,0,1,1,0,0
"The overall experience was good, but it could be improved with better management and more resources.",0,0,1,0,1,0,1,0,0,0
"Advanced participants will appreciate the depth, but the event is lengthy. Management needs improvement.",1,0,0,0,0,0,0,1,1,0
"This short event is perfect for beginners. However, it lacks the depth needed for advanced participants.",0,0,0,1,0,0,0,0,0,1
"In-depth content for advanced participants. However, the event felt too lengthy.",1,0,0,0,0,0,0,0,1,0
"A disaster of an event! Bad management, bad content, and no useful resources.",0,1,1,0,0,0,0,0,0,0
"Beginner-friendly with a wealth of information. Overall, a good experience.",0,0,0,1,1,0,0,1,0,0
Good event with effective management. More resources would enhance the overall experience.,0,0,0,0,1,1,1,0,0,0
